START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,DURACION_MIN,AÑO,MES,DIA,MES_AÑO,DIA_SEMANA,FRANJA_HORARIA,INTERVALO_MINUTOS,COINCIDENCIA_TIEMPO_LUGAR,STOP_PREV
2016-01-01 21:11:00,2016-01-01 21:17:00,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,6.0,2016,1,1,01-2016,Friday,Noche,,No,
2016-01-02 01:25:00,2016-01-02 01:37:00,Business,Fort Pierce,Fort Pierce,5.0,,12.0,2016,1,2,01-2016,Saturday,Madrugada,248.0,No,Fort Pierce
2016-01-02 20:25:00,2016-01-02 20:38:00,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,13.0,2016,1,2,01-2016,Saturday,Noche,1128.0,No,Fort Pierce
2016-01-05 17:31:00,2016-01-05 17:45:00,Business,Fort Pierce,Fort Pierce,4.7,Meeting,14.0,2016,1,5,01-2016,Tuesday,Tarde,4133.0,No,Fort Pierce
2016-01-06 14:42:00,2016-01-06 15:49:00,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,67.0,2016,1,6,01-2016,Wednesday,Tarde,1257.0,No,Fort Pierce
2016-01-06 17:15:00,2016-01-06 17:19:00,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,4.0,2016,1,6,01-2016,Wednesday,Tarde,86.0,No,West Palm Beach
2016-01-06 17:30:00,2016-01-06 17:35:00,Business,West Palm Beach,Palm Beach,7.1,Meeting,5.0,2016,1,6,01-2016,Wednesday,Tarde,11.0,Sí,West Palm Beach
2016-01-07 13:27:00,2016-01-07 13:33:00,Business,Cary,Cary,0.8,Meeting,6.0,2016,1,7,01-2016,Thursday,Tarde,1192.0,No,Palm Beach
2016-01-10 08:05:00,2016-01-10 08:25:00,Business,Cary,Morrisville,8.3,Meeting,20.0,2016,1,10,01-2016,Sunday,Mañana,3992.0,No,Cary
2016-01-10 12:17:00,2016-01-10 12:44:00,Business,Jamaica,New York,16.5,Customer Visit,27.0,2016,1,10,01-2016,Sunday,Tarde,232.0,No,Morrisville
2016-01-10 15:08:00,2016-01-10 15:51:00,Business,New York,Queens,10.8,Meeting,43.0,2016,1,10,01-2016,Sunday,Tarde,144.0,No,New York
2016-01-10 18:18:00,2016-01-10 18:53:00,Business,Elmhurst,New York,7.5,Meeting,35.0,2016,1,10,01-2016,Sunday,Noche,147.0,No,Queens
2016-01-10 19:12:00,2016-01-10 19:32:00,Business,Midtown,East Harlem,6.2,Meeting,20.0,2016,1,10,01-2016,Sunday,Noche,19.0,No,New York
2016-01-11 08:55:00,2016-01-11 09:21:00,Business,East Harlem,Nomad,6.4,Temporary Site,26.0,2016,1,11,01-2016,Monday,Mañana,803.0,No,East Harlem
2016-01-11 11:56:00,2016-01-11 12:03:00,Business,Flatiron District,Midtown,1.6,Errand/Supplies,7.0,2016,1,11,01-2016,Monday,Mañana,155.0,No,Nomad
